Name,Publisher,Installed On,Size (MB),Version,Install Location,Source
MicrosoftWindows.CrossDevice,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.25072.59.0,C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.25072.59.0_x64__cw5n1h2txyewy,store_apps
Microsoft.XboxIdentityProvider,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,12.130.16001.0,C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.130.16001.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Windows.CloudExperienceHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.6396,C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,store_apps
Microsoft.WindowsCamera,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2025.2510.2.0,C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2025.2510.2.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.WindowsCalculator,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,11.2508.4.0,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.WebpImageExtension,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.2.14.0,C:\Program Files\WindowsApps\Microsoft.WebpImageExtension_1.2.14.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.WebMediaExtensions,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.2.17.0,C:\Program Files\WindowsApps\Microsoft.WebMediaExtensions_1.2.17.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.WindowsAlarms,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,11.2512.0.0,C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_11.2512.0.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Microsoft3DViewer,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,7.2602.8012.0,C:\Program Files\WindowsApps\Microsoft.Microsoft3DViewer_7.2602.8012.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Copilot,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,149.0.4022.66,C:\Program Files\WindowsApps\Microsoft.Copilot_149.0.4022.66_neutral__8wekyb3d8bbwe,store_apps
Microsoft.AV1VideoExtension,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2.0.7.0,C:\Program Files\WindowsApps\Microsoft.AV1VideoExtension_2.0.7.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.YourPhone,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.25072.79.0,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25072.79.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.DesktopAppInstaller,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.28.240.0,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.28.240.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.GetHelp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.2409.41132.0,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2409.41132.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.VP9VideoExtensions,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.2.13.0,C:\Program Files\WindowsApps\Microsoft.VP9VideoExtensions_1.2.13.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.BingWeather,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,4.54.63040.0,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.54.63040.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.ZuneVideo,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.26041.10031.0,C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.26041.10031.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.WindowsStore,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,22604.1401.8.0,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22604.1401.8.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.OutlookForWindows,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.2026.520.0,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2026.520.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Windows.Photos,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2026.11050.1001.0,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2026.11050.1001.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.StorePurchaseApp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,22604.1401.3.0,C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_22604.1401.3.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.ZuneMusic,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,11.2604.10.0,C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2604.10.0_x64__8wekyb3d8bbwe,store_apps
91750D7E.Slack,CN=B25A2379-D5D0-455B-826A-BFFC7EBB5713,,,4.50.136.0,C:\Program Files\WindowsApps\91750D7E.Slack_4.50.136.0_x64__8she8kybcnzg4,store_apps
Claude,"CN=""Anthropic, PBC"", O=""Anthropic, PBC"", L=San Francisco, S=California, C=US, SERIALNUMBER=4860621, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",,,1.12603.1.0,C:\Program Files\WindowsApps\Claude_1.12603.1.0_x64__pzs8sxrjxfjjc,store_apps
MSTeams,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,26134.1702.4747.7366,C:\Program Files\WindowsApps\MSTeams_26134.1702.4747.7366_x64__8wekyb3d8bbwe,store_apps
Microsoft.Windows.Search,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.14.18.19041,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy,store_apps
Microsoft.HEIFImageExtension,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.2.36.0,C:\Program Files\WindowsApps\Microsoft.HEIFImageExtension_1.2.36.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.XboxGamingOverlay,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,7.326.6011.0,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.326.6011.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.MicrosoftOfficeHub,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,19.2606.39121.0,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2606.39121.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.MicrosoftEdge.Stable,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,149.0.4022.69,C:\Program Files\WindowsApps\Microsoft.MicrosoftEdge.Stable_149.0.4022.69_neutral__8wekyb3d8bbwe,store_apps
Microsoft.WindowsFeedbackHub,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.2603.26301.0,C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2603.26301.0_x64__8wekyb3d8bbwe,store_apps
PythonSoftwareFoundation.PythonManager,"CN=Python Software Foundation, O=Python Software Foundation, L=Beaverton, S=Oregon, C=US",,,26.2.240.0,C:\Program Files\WindowsApps\PythonSoftwareFoundation.PythonManager_26.2.240.0_x64__3847v3x7pw1km,store_apps
Teams_windows_x64,Unknown,,109.16 MB,Unknown,D:\Teams_windows_x64.exe,portable_apps
AnyDesk (1),Unknown,,3.63 MB,Unknown,C:\Users\cpcl\Downloads\AnyDesk (1).exe,portable_apps
AnyDesk (2),Unknown,,3.63 MB,Unknown,C:\Users\cpcl\Downloads\AnyDesk (2).exe,portable_apps
AnyDesk,Unknown,,3.59 MB,Unknown,C:\Users\cpcl\Downloads\AnyDesk.exe,portable_apps
Autodesk_Navisworks_Freedom_2022_Win_64bit_dlm.sfx (1),Unknown,,1.08 GB,Unknown,C:\Users\cpcl\Downloads\Autodesk_Navisworks_Freedom_2022_Win_64bit_dlm.sfx (1).exe,portable_apps
Autodesk_Navisworks_Freedom_2022_Win_64bit_dlm.sfx,Unknown,,1.08 GB,Unknown,C:\Users\cpcl\Downloads\Autodesk_Navisworks_Freedom_2022_Win_64bit_dlm.sfx.exe,portable_apps
CDM20828_Setup,Unknown,,1.83 MB,Unknown,C:\Users\cpcl\Downloads\CDM20828_Setup.exe,portable_apps
ChromeSetup,Unknown,,1.24 MB,Unknown,C:\Users\cpcl\Downloads\ChromeSetup.exe,portable_apps
Claude Setup (1),Unknown,,6.68 MB,Unknown,C:\Users\cpcl\Downloads\Claude Setup (1).exe,portable_apps
Claude Setup (2),Unknown,,6.68 MB,Unknown,C:\Users\cpcl\Downloads\Claude Setup (2).exe,portable_apps
Claude Setup,Unknown,,6.68 MB,Unknown,C:\Users\cpcl\Downloads\Claude Setup.exe,portable_apps
Git-2.54.0-64-bit,Unknown,,62.16 MB,Unknown,C:\Users\cpcl\Downloads\Git-2.54.0-64-bit.exe,portable_apps
GitHubDesktopSetup-x64,Unknown,,181.4 MB,Unknown,C:\Users\cpcl\Downloads\GitHubDesktopSetup-x64.exe,portable_apps
MSTeamsSetup (1),Unknown,,1.3 MB,Unknown,C:\Users\cpcl\Downloads\MSTeamsSetup (1).exe,portable_apps
MSTeamsSetup (2),Unknown,,1.3 MB,Unknown,C:\Users\cpcl\Downloads\MSTeamsSetup (2).exe,portable_apps
MSTeamsSetup,Unknown,,1.3 MB,Unknown,C:\Users\cpcl\Downloads\MSTeamsSetup.exe,portable_apps
MXB18_PCL6_PS_1512a_32bit,Unknown,,20.73 MB,Unknown,C:\Users\cpcl\Downloads\MXB18_PCL6_PS_1512a_32bit.exe,portable_apps
OllamaSetup,Unknown,,1.3 GB,Unknown,C:\Users\cpcl\Downloads\OllamaSetup.exe,portable_apps
OperaSetup,Unknown,,2.64 MB,Unknown,C:\Users\cpcl\Downloads\OperaSetup.exe,portable_apps
PL2303-Prolific_DriverInstaller_v1200,Unknown,,6.67 MB,Unknown,C:\Users\cpcl\Downloads\PL2303-Prolific_DriverInstaller_v1200.exe,portable_apps
PL2303_CheckChipVersion_v1006,Unknown,,0.2 MB,Unknown,C:\Users\cpcl\Downloads\PL2303_CheckChipVersion_v1006.exe,portable_apps
PL2303_Prolific_DriverInstaller_v1210,Unknown,,3.03 MB,Unknown,C:\Users\cpcl\Downloads\PL2303_Prolific_DriverInstaller_v1210.exe,portable_apps
PL2303_Vista_32_64_332102,Unknown,,2.91 MB,Unknown,C:\Users\cpcl\Downloads\PL2303_Vista_32_64_332102.exe,portable_apps
python-3.14.5-amd64,Unknown,,28.96 MB,Unknown,C:\Users\cpcl\Downloads\python-3.14.5-amd64.exe,portable_apps
SlackSetup (1),Unknown,,98.64 MB,Unknown,C:\Users\cpcl\Downloads\SlackSetup (1).exe,portable_apps
SlackSetup,Unknown,,91.05 MB,Unknown,C:\Users\cpcl\Downloads\SlackSetup.exe,portable_apps
TeamsSetupx64_s_8DAA039C3EBA309-7-0_c_w_,Unknown,,1.37 MB,Unknown,C:\Users\cpcl\Downloads\TeamsSetupx64_s_8DAA039C3EBA309-7-0_c_w_.exe,portable_apps
TeamsSetupx64_s_8DAA039CF630452-7-0_c_w_,Unknown,,1.37 MB,Unknown,C:\Users\cpcl\Downloads\TeamsSetupx64_s_8DAA039CF630452-7-0_c_w_.exe,portable_apps
UC232A_Windows_Setup_V1.0.081,Unknown,,3.66 MB,Unknown,C:\Users\cpcl\Downloads\UC232A_Windows_Setup_V1.0.081.exe,portable_apps
VLC media player _idRvZ,Unknown,,5.06 MB,Unknown,C:\Users\cpcl\Downloads\VLC media player _idRvZ.exe,portable_apps
VSCodeUserSetup-x64-1.124.0,Unknown,,176.38 MB,Unknown,C:\Users\cpcl\Downloads\VSCodeUserSetup-x64-1.124.0.exe,portable_apps
webex (1),Unknown,,0.46 MB,Unknown,C:\Users\cpcl\Downloads\webex (1).exe,portable_apps
webex,Unknown,,0.43 MB,Unknown,C:\Users\cpcl\Downloads\webex.exe,portable_apps
ZA_Connect (1),Unknown,,1.06 MB,Unknown,C:\Users\cpcl\Downloads\ZA_Connect (1).exe,portable_apps
ZA_Connect,Unknown,,1.06 MB,Unknown,C:\Users\cpcl\Downloads\ZA_Connect.exe,portable_apps
ZoomInstaller,Unknown,,14.72 MB,Unknown,C:\Users\cpcl\Downloads\ZoomInstaller.exe,portable_apps
2809-64-pcl-xps-53030.zip,,,8.13 MB,,,zip_files
All files.zip,,,0.26 MB,,,zip_files
AnyDesk (1).exe,,,3.63 MB,,,zip_files
AnyDesk (2).exe,,,3.63 MB,,,zip_files
AnyDesk.exe,,,3.59 MB,,,zip_files
Autodesk_Navisworks_Freedom_2022_Win_64bit_dlm.sfx (1).exe,,,1.08 GB,,,zip_files
Autodesk_Navisworks_Freedom_2022_Win_64bit_dlm.sfx.exe,,,1.08 GB,,,zip_files
CDM20828_Setup.exe,,,1.83 MB,,,zip_files
ChromeSetup.exe,,,1.24 MB,,,zip_files
Claude Setup (1).exe,,,6.68 MB,,,zip_files
Claude Setup (2).exe,,,6.68 MB,,,zip_files
Claude Setup.exe,,,6.68 MB,,,zip_files
CPCL-CBR MOM dt 28-29.09.2022.zip,,,1.03 MB,,,zip_files
E84.71_CheckPointVPN.msi,,,24.46 MB,,,zip_files
E86.50_CheckPointVPN.msi,,,31.3 MB,,,zip_files
Fwd_  (1).zip,,,0.26 MB,,,zip_files
Fwd_ .zip,,,0.26 MB,,,zip_files
"Fw_ Exhibition Opportunity at National Platform for Disaster Risk Reduction, (NPDRR) (1).zip",,,2.8 MB,,,zip_files
"Fw_ Exhibition Opportunity at National Platform for Disaster Risk Reduction, (NPDRR).zip",,,6.22 MB,,,zip_files
Git-2.54.0-64-bit.exe,,,62.16 MB,,,zip_files
GitHubDesktopSetup-x64.exe,,,181.4 MB,,,zip_files
LFDCOMNZA-07_COMMON_2018-2019_NA_ZB_L04_210607.0.zip,,,11.98 MB,,,zip_files
MiSetup2.2.0.7032_2717.zip,,,36.19 MB,,,zip_files
MSTeamsSetup (1).exe,,,1.3 MB,,,zip_files
MSTeamsSetup (2).exe,,,1.3 MB,,,zip_files
MSTeamsSetup.exe,,,1.3 MB,,,zip_files
MXB18_PCL6_PS_1512a_32bit.exe,,,20.73 MB,,,zip_files
OllamaSetup.exe,,,1.3 GB,,,zip_files
OperaSetup.exe,,,2.64 MB,,,zip_files
PL2303-Prolific_DriverInstaller_v1200.exe,,,6.67 MB,,,zip_files
pl2303driver_Windows_allinone.zip,,,2.26 MB,,,zip_files
PL2303_CheckChipVersion_v1006.exe,,,0.2 MB,,,zip_files
PL2303_Prolific_DriverInstaller_v1200.zip,,,7.14 MB,,,zip_files
PL2303_Prolific_DriverInstaller_v1210.exe,,,3.03 MB,,,zip_files
PL2303_Vista_32_64_332102.exe,,,2.91 MB,,,zip_files
PL2303_Vista_32_64_332102.zip,,,2.15 MB,,,zip_files
putty-0.75-installer.msi,,,2.8 MB,,,zip_files
putty-64bit-0.80-installer.msi,,,3.54 MB,,,zip_files
putty-arm64-0.76-installer.msi,,,2.52 MB,,,zip_files
python-3.14.5-amd64.exe,,,28.96 MB,,,zip_files
RE__Regarding_PDR_Crude_tanks_-_Jet_mixer_datasheet.zip,,,0.77 MB,,,zip_files
SlackSetup (1).exe,,,98.64 MB,,,zip_files
SlackSetup.exe,,,91.05 MB,,,zip_files
TeamsSetupx64_s_8DAA039C3EBA309-7-0_c_w_.exe,,,1.37 MB,,,zip_files
TeamsSetupx64_s_8DAA039CF630452-7-0_c_w_.exe,,,1.37 MB,,,zip_files
Teams_windows_x64.exe,,,115.84 MB,,,zip_files
TOSHIBA_e-STUDIO_Universal_Printer_Driver_2_v7.204.4408.17.zip,,,85.5 MB,,,zip_files
UC232A_Windows_Setup_V1.0.081.exe,,,3.66 MB,,,zip_files
UD3_02_PCL6_2201a.zip,,,14.91 MB,,,zip_files
USB_Serial_win2000_xp_vista_x86_x64_7.zip,,,2.41 MB,,,zip_files
VLC media player _idRvZ.exe,,,5.06 MB,,,zip_files
VSCodeUserSetup-x64-1.124.0.exe,,,176.38 MB,,,zip_files
webex (1).exe,,,0.46 MB,,,zip_files
webex.exe,,,0.43 MB,,,zip_files
Win_32_64Bit_WHQL_TWAIN_1605a.zip,,,9.95 MB,,,zip_files
Xiaomi_PC_Suite_3.2.1.3111.zip,,,38.89 MB,,,zip_files
ZA_Connect (1).exe,,,1.06 MB,,,zip_files
ZA_Connect.exe,,,1.06 MB,,,zip_files
ZoomInstaller.exe,,,14.72 MB,,,zip_files
ghbmnnjooekpmoecnnnilnnbdlolhkhi,,,,1.100.1,,browser_apps
Edge relevant text changes,Unknown,,,1.2.1,,browser_apps
__MSG_shortName__,Unknown,,,4.40,,browser_apps
Autodesk,,,,,,deleted_traces
ModifiableWindowsApps,,,,,,deleted_traces
Uninstall Information,,,,,,deleted_traces
AggregatorHost,,,,,,processes
ApplicationFrameHost,,,,,,processes
AutoUpdate,,,,,,processes
chrome,,,,,,processes
Code,,,,,,processes
CompPkgSrv,,,,,,processes
conhost,,,,,,processes
cowork-svc,,,,,,processes
crashpad_handler,,,,,,processes
csrss,,,,,,processes
ctfmon,,,,,,processes
dasHost,,,,,,processes
dllhost,,,,,,processes
dwm,,,,,,processes
EPWD,,,,,,"processes, services"
ETDCtrl,,,,,,"processes, startup_items"
ETDCtrlHelper,,,,,,processes
ETDService,,,,,,"processes, services"
EXCEL,,,,,,processes
explorer,,,,,,processes
fontdrvhost,,,,,,processes
GitHubDesktop,,,,,,processes
Idle,,,,,,processes
igfxCUIService,,,,,,processes
igfxEM,,,,,,processes
IntelCpHDCPSvc,,,,,,processes
IntelCpHeciSvc,,,,,,processes
LockApp,,,,,,processes
LogiSyncHandler,,,,,,"processes, services"
LogiSyncMiddleware,,,,,,"processes, services"
LogiSyncProxy,,,,,,"processes, services"
lsass,,,,,,processes
Memory Compression,,,,,,processes
Microsoft.Media.Player,,,,,,processes
MoUsoCoreWorker,,,,,,processes
MpDefenderCoreService,,,,,,processes
msedge,,,,,,processes
msedgewebview2,,,,,,processes
MsMpEng,,,,,,processes
ms-teams,,,,,,processes
NisSrv,,,,,,processes
Ollama,,,,,,"processes, startup_items"
ollama app,,,,,,processes
OneApp.IGCC.WinService,,,,,,processes
OneDrive.Sync.Service,,,,,,processes
OpenConsole,,,,,,processes
pet,,,,,,processes
powershell,,,,,,processes
prevhost,,,,,,processes
python,,,,,,processes
RAVCpl64,,,,,,processes
Registry,,,,,,processes
RightSightService,,,,,,processes
RuntimeBroker,,,,,,processes
SearchApp,,,,,,processes
SearchIndexer,,,,,,processes
SecurityHealthService,,,,,,"processes, services"
SecurityHealthSystray,,,,,,processes
services,,,,,,processes
ShellExperienceHost,,,,,,processes
sihost,,,,,,processes
smartscreen,,,,,,processes
smss,,,,,,processes
SnippingTool,,,,,,processes
spoolsv,,,,,,processes
StartMenuExperienceHost,,,,,,processes
SUService,,,,,,processes
svchost,,,,,,processes
System,,,,,,processes
SystemSettings,,,,,,processes
taskhostw,,,,,,processes
TextInputHost,,,,,,processes
TracSrvWrapper,,,,,,"processes, services"
UserOOBEBroker,,,,,,processes
Video.UI,,,,,,processes
wininit,,,,,,processes
winlogon,,,,,,processes
AarSvc_51786d5,,,,,,services
AJRouter,,,,,,services
ALG,,,,,,services
AppIDSvc,,,,,,services
Appinfo,,,,,,services
AppMgmt,,,,,,services
AppReadiness,,,,,,services
AppVClient,,,,,,services
AppXSvc,,,,,,services
AssignedAccessManagerSvc,,,,,,services
AudioEndpointBuilder,,,,,,services
Audiosrv,,,,,,services
autotimesvc,,,,,,services
AxInstSV,,,,,,services
BcastDVRUserService_51786d5,,,,,,services
BDESVC,,,,,,services
BFE,,,,,,services
BITS,,,,,,services
BluetoothUserService_51786d5,,,,,,services
BrokerInfrastructure,,,,,,services
BTAGService,,,,,,services
BthAvctpSvc,,,,,,services
bthserv,,,,,,services
camsvc,,,,,,services
CaptureService_51786d5,,,,,,services
cbdhsvc_51786d5,,,,,,services
CDPSvc,,,,,,services
CDPUserSvc_51786d5,,,,,,services
CertPropSvc,,,,,,services
ClipSVC,,,,,,services
cloudidsvc,,,,,,services
COMSysApp,,,,,,services
ConsentUxUserSvc_51786d5,,,,,,services
CoreMessagingRegistrar,,,,,,services
CoworkVMService,,,,,,services
cphs,,,,,,services
cplspcon,,,,,,services
CredentialEnrollmentManagerUserSvc_51786d5,,,,,,services
CryptSvc,,,,,,services
CscService,,,,,,services
DcomLaunch,,,,,,services
dcsvc,,,,,,services
defragsvc,,,,,,services
DeviceAssociationBrokerSvc_51786d5,,,,,,services
DeviceAssociationService,,,,,,services
DeviceInstall,,,,,,services
DevicePickerUserSvc_51786d5,,,,,,services
DevicesFlowUserSvc_51786d5,,,,,,services
DevQueryBroker,,,,,,services
Dhcp,,,,,,services
diagnosticshub.standardcollector.service,,,,,,services
diagsvc,,,,,,services
DiagTrack,,,,,,services
DialogBlockingService,,,,,,services
DispBrokerDesktopSvc,,,,,,services
DisplayEnhancementService,,,,,,services
DmEnrollmentSvc,,,,,,services
dmwappushservice,,,,,,services
Dnscache,,,,,,services
DoSvc,,,,,,services
dot3svc,,,,,,services
DPS,,,,,,services
DsmSvc,,,,,,services
DsSvc,,,,,,services
DusmSvc,,,,,,services
Eaphost,,,,,,services
edgeupdate,,,,,,services
edgeupdatem,,,,,,services
EFS,,,,,,services
embeddedmode,,,,,,services
EntAppSvc,,,,,,services
EventLog,,,,,,services
EventSystem,,,,,,services
Fax,,,,,,services
fdPHost,,,,,,services
FDResPub,,,,,,services
fhsvc,,,,,,services
FontCache,,,,,,services
FrameServer,,,,,,services
GameInputSvc,,,,,,services
GoogleChromeElevationService,,,,,,services
GoogleUpdaterInternalService150.0.7863.0,,,,,,services
GoogleUpdaterService150.0.7863.0,,,,,,services
gpsvc,,,,,,services
GraphicsPerfSvc,,,,,,services
HCLAUTService,,,,,,services
hidserv,,,,,,services
HvHost,,,,,,services
icssvc,,,,,,services
igccservice,,,,,,services
igfxCUIService2.0.0.0,,,,,,services
IKEEXT,,,,,,services
InstallService,,,,,,services
iphlpsvc,,,,,,services
IpxlatCfgSvc,,,,,,services
KeyIso,,,,,,services
KtmRm,,,,,,services
LanmanServer,,,,,,services
LanmanWorkstation,,,,,,services
lfsvc,,,,,,services
LicenseManager,,,,,,services
lltdsvc,,,,,,services
lmhosts,,,,,,services
LNSUSvc,,,,,,services
LSM,,,,,,services
LxpSvc,,,,,,services
MapsBroker,,,,,,services
McpManagementService,,,,,,services
MDCoreSvc,,,,,,services
MessagingService_51786d5,,,,,,services
MicrosoftCopilotElevationService,,,,,,services
MicrosoftEdgeElevationService,,,,,,services
MixedRealityOpenXRSvc,,,,,,services
mpssvc,,,,,,services
MSDTC,,,,,,services
MSiSCSI,,,,,,services
msiserver,,,,,,services
MsKeyboardFilter,,,,,,services
NaturalAuthentication,,,,,,services
NcaSvc,,,,,,services
NcbService,,,,,,services
NcdAutoSetup,,,,,,services
Netlogon,,,,,,services
Netman,,,,,,services
netprofm,,,,,,services
NetSetupSvc,,,,,,services
NetTcpPortSharing,,,,,,services
NgcCtnrSvc,,,,,,services
NgcSvc,,,,,,services
NlaSvc,,,,,,services
nsi,,,,,,services
OneSyncSvc_51786d5,,,,,,services
ose,,,,,,services
p2pimsvc,,,,,,services
p2psvc,,,,,,services
PcaSvc,,,,,,services
PeerDistSvc,,,,,,services
perceptionsimulation,,,,,,services
PerfHost,,,,,,services
PhoneSvc,,,,,,services
PimIndexMaintenanceSvc_51786d5,,,,,,services
pla,,,,,,services
PlugPlay,,,,,,services
PNRPAutoReg,,,,,,services
PNRPsvc,,,,,,services
PolicyAgent,,,,,,services
Power,,,,,,services
PrintNotify,,,,,,services
PrintWorkflowUserSvc_51786d5,,,,,,services
ProfSvc,,,,,,services
PushToInstall,,,,,,services
QWAVE,,,,,,services
RasAuto,,,,,,services
RasMan,,,,,,services
RemoteAccess,,,,,,services
RemoteRegistry,,,,,,services
RetailDemo,,,,,,services
RmSvc,,,,,,services
RpcEptMapper,,,,,,services
RpcLocator,,,,,,services
RpcSs,,,,,,services
SamSs,,,,,,services
SCardSvr,,,,,,services
ScDeviceEnum,,,,,,services
Schedule,,,,,,services
SCPolicySvc,,,,,,services
SDRSVC,,,,,,services
seclogon,,,,,,services
SEMgrSvc,,,,,,services
SENS,,,,,,services
Sense,,,,,,services
SensorDataService,,,,,,services
SensorService,,,,,,services
SensrSvc,,,,,,services
SessionEnv,,,,,,services
SharedAccess,,,,,,services
SharedRealitySvc,,,,,,services
ShellHWDetection,,,,,,services
shpamsvc,,,,,,services
smphost,,,,,,services
SmsRouter,,,,,,services
SNMPTRAP,,,,,,services
spectrum,,,,,,services
Spooler,,,,,,services
sppsvc,,,,,,services
SSDPSRV,,,,,,services
ssh-agent,,,,,,services
SstpSvc,,,,,,services
StateRepository,,,,,,services
stisvc,,,,,,services
StorSvc,,,,,,services
svsvc,,,,,,services
swprv,,,,,,services
SysMain,,,,,,services
SystemEventsBroker,,,,,,services
TabletInputService,,,,,,services
TapiSrv,,,,,,services
TermService,,,,,,services
Themes,,,,,,services
TieringEngineService,,,,,,services
TimeBrokerSvc,,,,,,services
TokenBroker,,,,,,services
TrkWks,,,,,,services
TroubleshootingSvc,,,,,,services
TrustedInstaller,,,,,,services
tzautoupdate,,,,,,services
UdkUserSvc_51786d5,,,,,,services
UevAgentService,,,,,,services
uhssvc,,,,,,services
UmRdpService,,,,,,services
UnistoreSvc_51786d5,,,,,,services
upnphost,,,,,,services
UserDataSvc_51786d5,,,,,,services
UserManager,,,,,,services
UsoSvc,,,,,,services
VacSvc,,,,,,services
VaultSvc,,,,,,services
vds,,,,,,services
vmicguestinterface,,,,,,services
vmicheartbeat,,,,,,services
vmickvpexchange,,,,,,services
vmicrdv,,,,,,services
vmicshutdown,,,,,,services
vmictimesync,,,,,,services
vmicvmsession,,,,,,services
vmicvss,,,,,,services
VSS,,,,,,services
W32Time,,,,,,services
WaaSMedicSvc,,,,,,services
WalletService,,,,,,services
WarpJITSvc,,,,,,services
wbengine,,,,,,services
WbioSrvc,,,,,,services
Wcmsvc,,,,,,services
wcncsvc,,,,,,services
WdiServiceHost,,,,,,services
WdiSystemHost,,,,,,services
WdNisSvc,,,,,,services
WebClient,,,,,,services
WebexService,,,,,,services
Wecsvc,,,,,,services
WEPHOSTSVC,,,,,,services
wercplsupport,,,,,,services
WerSvc,,,,,,services
WFDSConMgrSvc,,,,,,services
WiaRpc,,,,,,services
WinDefend,,,,,,services
WinHttpAutoProxySvc,,,,,,services
Winmgmt,,,,,,services
WinRM,,,,,,services
wisvc,,,,,,services
WlanSvc,,,,,,services
wlidsvc,,,,,,services
wlpasvc,,,,,,services
