Name,Publisher,Installed On,Size (MB),Version,Install Location,Source
Outils de vérification linguistique 2016 de Microsoft Office - Français,Microsoft Corporation,30-03-2021,24.58 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Herramientas de corrección de Microsoft Office 2016: español,Microsoft Corporation,30-03-2021,23.46 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Office Proofing (English) 2016,Microsoft Corporation,30-03-2021,1.02 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Office Shared MUI (English) 2016,Microsoft Corporation,30-03-2021,21.58 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft OneNote MUI (English) 2016,Microsoft Corporation,30-03-2021,17.49 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Groove MUI (English) 2016,Microsoft Corporation,30-03-2021,8.62 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Office OSM MUI (English) 2016,Microsoft Corporation,30-03-2021,1.18 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Office OSM UX MUI (English) 2016,Microsoft Corporation,30-03-2021,8.2 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Office Shared Setup Metadata MUI (English) 2016,Microsoft Corporation,30-03-2021,1.02 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719,Microsoft Corporation,Unknown,20.7 MB,14.50.35719.0,C:\ProgramData\Package Cache\{91ee571b-0e8a-4c65-9eaf-2e2f5fc60c00},msi_apps
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610,Microsoft Corporation,Unknown,17.38 MB,11.0.60610.1,C:\ProgramData\Package Cache\{95716cce-fc71-413f-8ad5-56c2892d4b3a},msi_apps
PuTTY release 0.75,Simon Tatham,26-08-2021,3.76 MB,0.75.0.0,Unknown,msi_apps
Python Launcher,Python Software Foundation,10-06-2026,1.52 MB,3.14.5150.0,Unknown,msi_apps
Adobe Reader X,Adobe Systems Incorporated,30-03-2021,111.79 MB,10.0.0,C:\Program Files (x86)\Adobe\Reader 10.0\Reader\,msi_apps
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.27.29112,Microsoft Corporation,Unknown,19.72 MB,14.27.29112.0,C:\ProgramData\Package Cache\{be826f5f-eda5-45a2-a3fe-c2cb5c1b9842},msi_apps
Cisco Webex Meetings,Cisco Webex LLC,30-03-2021,315.0 MB,40.11.3.12,Unknown,msi_apps
UC232A_Win 8_64bit,"Aten International Co., Ltd.",26-08-2021,,1.0.081,"C:\Program Files (x86)\Aten International Co., Ltd.\UC232A_Win 8_64bit",msi_apps
HCL Notes 11.0.1,HCL,30-03-2021,616.13 MB,11.01.20080,Unknown,msi_apps
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610,Microsoft Corporation,14-02-2022,1.72 MB,11.0.60610,Unknown,msi_apps
Realtek High Definition Audio Driver,Realtek Semiconductor Corp.,Unknown,,6.0.1.7564,C:\Program Files\Realtek\Audio\HDA,msi_apps
YouTube,Google\Chrome,04-10-2023,,1.0,C:\Program Files\Google\Chrome\Application,"msi_apps, user_apps"
Docs,Google\Chrome,04-10-2023,,1.0,C:\Program Files\Google\Chrome\Application,"msi_apps, user_apps"
Google Drive,Google\Chrome,04-10-2023,,1.0,C:\Program Files\Google\Chrome\Application,"msi_apps, user_apps"
Sheets,Google\Chrome,04-10-2023,,1.0,C:\Program Files\Google\Chrome\Application,"msi_apps, user_apps"
Slides,Google\Chrome,04-10-2023,,1.0,C:\Program Files\Google\Chrome\Application,"msi_apps, user_apps"
Gmail,Google\Chrome,04-10-2023,,1.0,C:\Program Files\Google\Chrome\Application,"msi_apps, user_apps"
GitHub Desktop,"GitHub, Inc.",15-06-2026,180.83 MB,3.5.12,C:\Users\cpcl\AppData\Local\GitHubDesktop,"msi_apps, user_apps"
Microsoft OneDrive,Microsoft Corporation,Unknown,539.25 MB,26.095.0519.0003,C:\Users\cpcl\AppData\Local\Microsoft\OneDrive\26.095.0519.0003,"msi_apps, user_apps"
Python 3.14.6,Python Software Foundation,15-06-2026,125.68 MB,3.14-64,C:\Users\cpcl\AppData\Local\Python\pythoncore-3.14-64,"msi_apps, user_apps"
Slack,Slack Technologies Inc.,25-09-2023,111.85 MB,4.34.119,C:\Users\cpcl\AppData\Local\slack,"msi_apps, user_apps"
Zoho Assist,Zoho Corporation,Unknown,,111.0.3.266,C:\Program Files (x86)\ZohoMeeting\,"msi_apps, user_apps"
Zoom,"Zoom Video Communications, Inc.",Unknown,,5.17.11 (34827),C:\Users\cpcl\AppData\Roaming\Zoom\bin,"msi_apps, user_apps"
Python 3.14.5 (64-bit),Python Software Foundation,Unknown,172.81 MB,3.14.5150.0,C:\Users\cpcl\AppData\Local\Package Cache\{2fc382fa-68a9-44f7-8851-98d7664255e6},"msi_apps, user_apps"
Ollama version 0.30.8,Ollama,15-06-2026,3.0 GB,0.30.8,C:\Users\cpcl\AppData\Local\Programs\Ollama\,"msi_apps, user_apps"
Microsoft Visual Studio Code (User),Microsoft Corporation,12-06-2026,804.52 MB,1.124.2,C:\Users\cpcl\AppData\Local\Programs\Microsoft VS Code\,"msi_apps, user_apps"
windows.immersivecontrolpanel,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.2.1000,C:\Windows\ImmersiveControlPanel,store_apps
Microsoft.UI.Xaml.2.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2.1810.18004.0,C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.NET.Native.Framework.2.2,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2.2.29512.0,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.NET.Native.Runtime.2.2,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2.2.28604.0,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Wallet,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,2.4.18324.0,C:\Program Files\WindowsApps\Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.XboxSpeechToTextOverlay,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.21.13002.0,C:\Program Files\WindowsApps\Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.XboxGameOverlay,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.54.4001.0,C:\Program Files\WindowsApps\Microsoft.XboxGameOverlay_1.54.4001.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.VCLibs.110.00,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,11.0.51106.1,C:\Program Files\WindowsApps\Microsoft.VCLibs.110.00_11.0.51106.1_x64__8wekyb3d8bbwe,store_apps
Windows.PrintDialog,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,6.2.1.0,C:\Windows\PrintDialog,store_apps
Microsoft.VCLibs.140.00.UWPDesktop,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,14.0.30704.0,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.30704.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Print3D,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,3.3.791.0,C:\Program Files\WindowsApps\Microsoft.Print3D_3.3.791.0_x64__8wekyb3d8bbwe,store_apps
